timestamp_utc,open,high,low,close,volume,turnover,oi_btc,long_ratio,short_ratio,long_short_ratio,funding_rate,mark_open,mark_high,mark_low,mark_close,index_open,index_high,index_low,index_close,basis,premium_pct,oi_usd
2025-07-03 00:00:00+00:00,2569.72,2587.24,2555.03,2560.22,215855.4,554695367.8179,1061866.72,0.697,0.303,2.3003300330033003,0.0001,2569.8,2585.4,2555.4,2560.38,2570.32,2586.93,2556.21,2561.24,-0.8599999999996726,-0.0003357748590525186,2718782312.5536
2025-07-03 04:00:00+00:00,2560.22,2605.15,2557.99,2599.41,271522.81,702689210.0265,1046434.02,0.7034,0.2966,2.371544167228591,0.0001,2560.38,2605.1,2558.3,2599.41,2561.24,2605.48,2559.4,2600.14,-0.7300000000000182,-0.0002807541132400633,2720111055.9282
2025-07-03 08:00:00+00:00,2599.41,2615.98,2579.47,2596.42,330498.5,858189724.2975,1059453.19,0.7114,0.2886,2.465003465003465,0.0001,2599.41,2615.9,2580.9,2596.44,2600.14,2616.74,2581.94,2597.49,-1.0499999999997272,-0.00040423639744512096,2750806640.6436
2025-07-03 12:00:00+00:00,2596.42,2635.54,2563.21,2569.06,801541.2,2082230795.1981,1081320.33,0.7082,0.2918,2.4270047978067173,0.0001,2596.44,2634.32,2564.14,2569.1,2597.49,2635.28,2565.59,2570.46,-1.3600000000001273,-0.0005290881787696083,2778020059.803
2025-07-03 16:00:00+00:00,2569.06,2591.78,2563.59,2584.85,232447.49,598973989.6456,1050266.84,0.7056,0.2944,2.3967391304347827,3.649e-05,2569.1,2591.4,2564.11,2584.85,2570.46,2592.41,2565.42,2585.99,-1.1399999999998727,-0.0004408369715272962,2714782241.374
2025-07-03 20:00:00+00:00,2584.85,2602.74,2584.0,2590.21,114922.78,297952340.7057,1048927.02,0.715,0.285,2.5087719298245617,3.649e-05,2584.85,2602.74,2584.36,2590.21,2585.99,2603.64,2585.62,2591.08,-0.8699999999998909,-0.0003357673248220398,2716941256.4742002
2025-07-04 00:00:00+00:00,2590.21,2602.23,2570.12,2576.7,172569.78,446112423.5822,1042607.85,0.7136,0.2864,2.4916201117318435,2.046e-05,2590.21,2601.9,2570.28,2576.85,2591.08,2602.98,2571.58,2577.93,-1.0799999999999272,-0.0004189407780660946,2686644038.2725
2025-07-04 04:00:00+00:00,2576.7,2583.62,2528.39,2533.81,297481.32,759913693.1874,1036435.61,0.7124,0.2876,2.477051460361613,2.046e-05,2576.85,2583.61,2529.21,2533.81,2577.93,2584.55,2530.49,2535.01,-1.2000000000002728,-0.0004733709137243138,2626130912.9741
2025-07-04 08:00:00+00:00,2533.81,2557.4,2525.48,2547.84,230761.22,587241738.7493,1025642.54,0.7137,0.2863,2.4928396786587497,1.273e-05,2533.81,2557.45,2526.7,2547.91,2535.01,2558.6,2527.83,2549.16,-1.25,-0.0004903576079963596,2613244884.0914
2025-07-04 12:00:00+00:00,2547.84,2555.01,2496.5,2499.58,498229.93,1254947731.4119,995507.06,0.7224,0.2776,2.602305475504323,1.273e-05,2547.91,2555.0,2496.98,2499.58,2549.16,2555.88,2498.35,2500.66,-1.0799999999999272,-0.00043188598210069636,2488349537.0348
2025-07-04 16:00:00+00:00,2499.58,2502.45,2473.01,2481.6,359059.3,892479759.1591,995420.9,0.7389,0.2611,2.8299502106472616,-2.887e-05,2499.58,2502.27,2473.36,2481.65,2500.66,2503.57,2474.56,2482.69,-1.0399999999999636,-0.0004189004668323325,2470286276.485
2025-07-04 20:00:00+00:00,2481.6,2519.5,2480.07,2506.93,172863.81,432624304.7937,1015568.31,0.7581,0.2419,3.1339396444811904,-2.887e-05,2481.65,2519.5,2480.16,2506.93,2482.69,2520.83,2481.34,2508.0,-1.0700000000001637,-0.0004266347687400972,2545958663.3883
2025-07-05 00:00:00+00:00,2506.93,2523.83,2497.19,2517.11,93518.64,235023881.7342,1003796.03,0.7735,0.2265,3.4150110375275937,7.28e-06,2506.93,2523.76,2497.79,2517.15,2508.0,2524.94,2498.69,2518.37,-1.2199999999998,-0.00048444033243717164,2526705176.9145
2025-07-05 04:00:00+00:00,2517.11,2529.16,2511.5,2520.45,98439.94,248093822.6279,1002829.49,0.7741,0.2259,3.4267374944665785,7.28e-06,2517.15,2528.71,2511.51,2520.23,2518.37,2529.68,2512.57,2521.32,-1.0900000000001455,-0.0004323132327511563,2527360965.5827
2025-07-05 08:00:00+00:00,2520.45,2524.22,2507.11,2516.67,99005.72,249143333.5105,1003402.63,0.7712,0.2288,3.3706293706293704,2.979e-05,2520.23,2524.36,2507.49,2516.72,2521.32,2525.75,2508.77,2518.06,-1.3400000000001455,-0.0005321557071714517,2525283466.9736
2025-07-05 12:00:00+00:00,2516.67,2520.73,2503.41,2506.88,117730.11,295871254.9652,1005221.82,0.7656,0.2344,3.266211604095563,2.979e-05,2516.72,2520.73,2504.26,2506.89,2518.06,2521.84,2505.41,2507.75,-0.8600000000001273,-0.0003429368956236177,2519980528.3398
2025-07-05 16:00:00+00:00,2506.88,2512.0,2486.25,2504.25,174903.27,437065124.7948,1001217.91,0.762,0.238,3.2016806722689077,-2.34e-05,2506.89,2512.02,2486.57,2504.62,2507.75,2513.1,2487.89,2505.71,-1.0900000000001455,-0.0004350064452790409,2507670401.7441998
2025-07-05 20:00:00+00:00,2504.25,2521.74,2496.73,2515.29,84698.79,212740664.0674,996986.69,0.7607,0.2393,3.1788549937317176,-2.34e-05,2504.62,2521.43,2497.17,2515.3,2505.71,2522.48,2498.36,2516.39,-1.0899999999996908,-0.00043316020171741695,2507720621.357
2025-07-06 00:00:00+00:00,2515.29,2519.9,2508.08,2513.93,60758.35,152771908.5005,998215.14,0.7645,0.2355,3.246284501061571,5.091e-05,2515.3,2519.87,2508.53,2513.93,2516.39,2520.79,2509.53,2514.8,-0.8700000000003456,-0.0003459519643710615,2509442986.9002
2025-07-06 04:00:00+00:00,2513.93,2525.71,2507.24,2516.7,107147.43,269801545.888,996856.4,0.7631,0.2369,3.2211903756859432,5.091e-05,2513.93,2525.71,2507.57,2516.7,2514.8,2526.63,2508.73,2517.86,-1.1600000000003092,-0.00046070869706826796,2508788501.88
2025-07-06 08:00:00+00:00,2516.7,2517.3,2501.7,2515.06,112706.14,282930038.7825,996111.97,0.761,0.239,3.184100418410042,6.059e-05,2516.7,2517.3,2502.42,2515.08,2517.86,2518.39,2503.55,2516.12,-1.0399999999999636,-0.000413334817099329,2505301293.5076
2025-07-06 12:00:00+00:00,2515.06,2569.34,2510.32,2557.4,385257.4,981747666.6408,1001686.98,0.763,0.237,3.219409282700422,6.059e-05,2515.08,2569.1,2510.65,2557.62,2516.12,2569.97,2511.88,2558.51,-0.8900000000003274,-0.0003478587146426347,2561934653.7876
2025-07-06 16:00:00+00:00,2557.4,2559.91,2522.5,2539.83,182314.1,463075582.944,1000896.1,0.7412,0.2588,2.8639876352395675,9.892e-05,2557.62,2559.91,2522.84,2539.89,2558.51,2560.67,2524.01,2541.07,-1.180000000000291,-0.00046437130814983095,2542165995.429
2025-07-06 20:00:00+00:00,2539.83,2605.3,2538.9,2569.06,357975.05,923567614.5943,993862.81,0.756,0.244,3.098360655737705,9.892e-05,2539.89,2604.41,2538.92,2569.16,2541.07,2605.09,2540.13,2570.4,-1.2400000000002365,-0.0004824151882976332,2553392576.9396
2025-07-07 00:00:00+00:00,2569.06,2589.65,2548.63,2576.14,202166.62,519184395.8935,990490.61,0.7458,0.2542,2.933910306845004,5.235e-05,2569.16,2589.65,2549.27,2576.23,2570.4,2590.56,2550.57,2577.32,-1.0900000000001455,-0.0004229199323328673,2551731624.2003
2025-07-07 04:00:00+00:00,2576.14,2579.51,2558.32,2577.29,155956.7,400828685.5631,988069.34,0.7502,0.2498,3.0032025620496396,5.235e-05,2576.23,2579.56,2558.69,2577.34,2577.32,2580.6,2559.93,2578.3,-0.9600000000000364,-0.00037233836248692405,2546590632.7556
2025-07-07 08:00:00+00:00,2577.29,2588.05,2551.32,2562.04,197205.94,506561581.1082,1007264.98,0.7461,0.2539,2.9385584875935407,4.891e-05,2577.34,2587.7,2551.42,2562.05,2578.3,2588.29,2552.56,2563.04,-0.9899999999997817,-0.0003862600661713363,2580663242.0090003
2025-07-07 12:00:00+00:00,2562.04,2569.03,2525.19,2532.31,485507.29,1235679294.8951,1017067.88,0.7451,0.2549,2.9231071008238523,4.891e-05,2562.05,2568.25,2526.86,2532.31,2563.04,2569.13,2527.76,2533.8,-1.4900000000002365,-0.0005880495698161798,2575531163.2028
2025-07-07 16:00:00+00:00,2532.31,2556.35,2506.61,2542.4,446721.71,1130936925.629,1013946.17,0.762,0.238,3.2016806722689077,4.036e-05,2532.31,2556.2,2511.94,2542.58,2533.8,2557.33,2512.85,2543.9,-1.3200000000001637,-0.0005188883210818679,2578039252.9186
2025-07-07 20:00:00+00:00,2542.4,2544.42,2521.05,2541.17,148352.29,375981120.0524,1005787.01,0.7611,0.2389,3.185851820845542,4.036e-05,2542.58,2544.42,2521.7,2540.95,2543.9,2545.53,2523.21,2542.23,-1.2800000000002,-0.0005034949630836707,2555654503.0594997
2025-07-08 00:00:00+00:00,2541.17,2553.61,2522.0,2536.82,179374.1,454855560.0632,998663.1,0.7649,0.2351,3.253509145044662,-1.62e-06,2540.95,2553.41,2522.3,2536.87,2542.23,2554.53,2523.72,2538.17,-1.300000000000182,-0.0005121800352222987,2533478458.4969997
2025-07-08 04:00:00+00:00,2536.82,2562.77,2530.79,2552.33,162961.98,415530132.5587,996530.76,0.7656,0.2344,3.266211604095563,-1.62e-06,2536.87,2562.69,2530.79,2552.39,2538.17,2563.65,2532.05,2553.4,-1.0100000000002183,-0.0003955510299993022,2543535146.5164
